,prop,lambda,theta,sample,sample_avg,acc_mhs
363,normal_dep,7000.0,1e-06,3,0.22069433656391615,0.20957832508871113
364,normal_dep,7000.0,1e-06,4,0.22069433656391615,0.1888104969790554
365,normal_dep,7000.0,1e-05,0,0.166694824210804,0.12298515646101295
366,normal_dep,7000.0,1e-05,1,0.166694824210804,0.1630846839788563
367,normal_dep,7000.0,1e-05,2,0.166694824210804,0.1974272026339364
368,normal_dep,7000.0,1e-05,3,0.166694824210804,0.18210478297397506
369,normal_dep,7000.0,1e-05,4,0.166694824210804,0.1678722950062392
370,normal_dep,7000.0,0.0001,0,0.15087463179186156,0.12354927169189522
371,normal_dep,7000.0,0.0001,1,0.15087463179186156,0.16194004113559357
372,normal_dep,7000.0,0.0001,2,0.15087463179186156,0.12848889512473494
373,normal_dep,7000.0,0.0001,3,0.15087463179186156,0.13458871901066158
