,theta,d,samples,acc_prob,acc_pl
422,10.0,3,2,0.0017311162383084786,0.0021589391824846276
423,10.0,3,3,0.0024030494214900356,0.003943571212722961
424,10.0,3,4,0.0020533077400914515,0.002279622665605202
425,10.0,3,5,0.0021092571621815913,0.0026374748367302696
426,10.0,3,6,0.002456116756779829,0.002174634481881875
427,10.0,3,7,0.002548544159533993,0.0022186243847088366
428,10.0,3,8,0.002136775621387052,0.0029074454413360942
429,10.0,3,9,0.0027715811724343753,0.0025674090974918966
430,10.0,4,0,0.0011668395224534922,0.0031764685429141347
431,10.0,4,1,0.0013240102712848045,0.0024254972420232647
432,10.0,4,2,0.0018135980681911175,0.003195821242437387
433,10.0,4,3,0.0018401046130050872,0.0035135775972158106
434,10.0,4,4,0.002917070104548136,0.00300452266799832
435,10.0,4,5,0.0024037478346425594,0.0021650075924744545
436,10.0,4,6,0.0015754941009925615,0.002322859471144158
437,10.0,4,7,0.002025750396113663,0.0029602150552821755
438,10.0,4,8,0.002591484810981555,0.0025287708442095114
439,10.0,4,9,0.0026824117533733277,0.002133485749526834
440,10.0,5,0,0.0038543656409292673,0.0022590527626056354
441,10.0,5,1,0.0029222902233347688,0.002594980419044041
442,10.0,5,2,0.0020449807418985518,0.0028204563245173998
443,10.0,5,3,0.0016166711096890676,0.002640721434998331
444,10.0,5,4,0.0019594281645569102,0.0022207109333666516
445,10.0,5,5,0.0009402770363113114,0.002533889359553705
446,10.0,5,6,0.0012537361598884238,0.0036117695764545515
447,10.0,5,7,0.0040886055596262745,0.003536960916045109
448,10.0,5,8,0.002706400458845055,0.003300915620495995
449,10.0,5,9,0.003814972992145044,0.0036955816146023945
450,10.0,6,0,0.0025774466196024624,0.0024476755822611463
451,10.0,6,1,0.002442957220795282,0.0022193905887233933
452,10.0,6,2,0.0022197255833304582,0.0022695044821375203
453,10.0,6,3,0.001338356839593174,0.0024031135898744315
454,10.0,6,4,0.0019143410672422087,0.0036575197429863254
